name,kind,source,impl,variants,item_class,display
vcrecipes_book,item,VCItems,ItemVCRecipesBook,1,,VariedCommodities Recipe Book
coin_wood,item,VCItems,ItemBasic,1,,Wooden Coin
coin_stone,item,VCItems,ItemBasic,1,,Stone Coin
coin_bronze,item,VCItems,ItemBasic,1,,Bronze Coin
coin_iron,item,VCItems,ItemBasic,1,,Iron Coin
coin_gold,item,VCItems,ItemBasic,1,,Golden Coin
coin_diamond,item,VCItems,ItemBasic,1,,Diamond Coin
coin_emerald,item,VCItems,ItemBasic,1,,Emerald Coin
gem_sapphire,item,VCItems,ItemBasic,1,,Sapphire
gem_ruby,item,VCItems,ItemBasic,1,,Ruby
gem_amethyst,item,VCItems,ItemBasic,1,,Amethyst
ingot_bronze,item,VCItems,ItemBasic,1,,Bronze Ingot
ingot_steel,item,VCItems,ItemBasic,1,,Steel Ingot
ingot_demonic,item,VCItems,ItemBasic,1,,Demonic Ingot
ingot_mithril,item,VCItems,ItemBasic,1,,Mithril Ingot
banjo,item,VCItems,ItemMusic,1,,Banjo
violin,item,VCItems,ItemMusicViolin,1,,Violin
violin_bow,item,VCItems,ItemBasic,1,,Violin Bow
harp,item,VCItems,ItemMusicViolin,1,,Harp
guitar,item,VCItems,ItemMusic,1,,Guitar
french_horn,item,VCItems,ItemMusic,1,,French Horn
ocarina,item,VCItems,ItemMusicOracina,1,,Ocarina
clarinet,item,VCItems,ItemMusicClarinet,1,,Clarinet
element_earth,item,VCItems,ItemBasic,1,,Earth Element
element_water,item,VCItems,ItemBasic,1,,Water Element
element_fire,item,VCItems,ItemBasic,1,,Fire Element
element_air,item,VCItems,ItemBasic,1,,Air Element
spell_nature,item,VCItems,ItemBasic,1,,Nature Spell
spell_arcane,item,VCItems,ItemBasic,1,,Arcane Spell
spell_lightning,item,VCItems,ItemBasic,1,,Lightning Spell
spell_ice,item,VCItems,ItemBasic,1,,Ice Spell
spell_fire,item,VCItems,ItemBasic,1,,Fire Spell
spell_dark,item,VCItems,ItemBasic,1,,Dark Spell
spell_holy,item,VCItems,ItemBasic,1,,Holy Spell
orb,item,VCItems,ItemOrb,16,,Orb
orb_broken,item,VCItems,ItemOrb,16,,BrokenOrb
ancient_scroll,item,VCItems,ItemBasic,1,,Ancient Scroll
artifact,item,VCItems,ItemBasic,1,,Artifact
locket,item,VCItems,ItemBasic,1,,Locket
silk,item,VCItems,ItemBasic,1,,Silk
statuette,item,VCItems,ItemBasic,1,,Statuette
tablet,item,VCItems,ItemBasic,1,,Tablet
heart,item,VCItems,ItemBasic,1,,Heart
money,item,VCItems,ItemBasic,1,,Money
