name_1201,kind,base_1122,meta,axis,variant,lang_key_1201,display_en
trading_block,block,trading_block,0,,,block.variedcommodities.trading_block,Trading Block
carpentry_bench,block,carpentry_bench,0,BENCH2,bench,block.variedcommodities.carpentry_bench,Carpentry Bench
carpentry_bench_anvil,block,carpentry_bench,1,BENCH2,anvil,block.minecraft.anvil,Anvil
blood_block_0,block,blood_block,0,NUM3,0,block.variedcommodities.blood_block_0,Blood Block
blood_block_1,block,blood_block,1,NUM3,1,block.variedcommodities.blood_block_1,Blood Block
blood_block_2,block,blood_block,2,NUM3,2,block.variedcommodities.blood_block_2,Blood Block
banner_wood,block,banner,0,MATERIAL,wood,block.variedcommodities.banner_wood,Wooden Banner
banner_stone,block,banner,1,MATERIAL,stone,block.variedcommodities.banner_stone,Stone Banner
banner_iron,block,banner,2,MATERIAL,iron,block.variedcommodities.banner_iron,Iron Banner
banner_gold,block,banner,3,MATERIAL,gold,block.variedcommodities.banner_gold,Golden Banner
banner_diamond,block,banner,4,MATERIAL,diamond,block.variedcommodities.banner_diamond,Diamond Banner
wall_banner_wood,block,wall_banner,0,MATERIAL,wood,block.variedcommodities.wall_banner_wood,Wooden Wall Banner
wall_banner_stone,block,wall_banner,1,MATERIAL,stone,block.variedcommodities.wall_banner_stone,Stone Wall Banner
wall_banner_iron,block,wall_banner,2,MATERIAL,iron,block.variedcommodities.wall_banner_iron,Iron Wall Banner
wall_banner_gold,block,wall_banner,3,MATERIAL,gold,block.variedcommodities.wall_banner_gold,Golden Wall Banner
wall_banner_diamond,block,wall_banner,4,MATERIAL,diamond,block.variedcommodities.wall_banner_diamond,Diamond Wall Banner
sign_oak,block,sign,0,WOOD,oak,block.variedcommodities.sign_oak,Oak Sign
sign_spruce,block,sign,1,WOOD,spruce,block.variedcommodities.sign_spruce,Spruce Sign
sign_birch,block,sign,2,WOOD,birch,block.variedcommodities.sign_birch,Birch Sign
sign_jungle,block,sign,3,WOOD,jungle,block.variedcommodities.sign_jungle,Jungle Sign
sign_acacia,block,sign,4,WOOD,acacia,block.variedcommodities.sign_acacia,Acacia Sign
sign_dark_oak,block,sign,5,WOOD,dark_oak,block.variedcommodities.sign_dark_oak,Dark Oak Sign
